BEN;CO;MXIL;NO;NO2;O3;PM2.5;SO2;TOL
0.49;0.58;0.49;56.0;46.0;6.0;8.0;26.0;1.74
0.51;0.38;0.77;49.0;40.0;20.0;4.0;5.0;2.33
0.66;0.52;0.89;77.0;40.0;6.0;12.0;9.0;2.53
1.02;0.81;1.33;118.0;46.0;4.0;14.0;16.0;3.9
0.7;0.71;1.1;94.0;42.0;7.0;15.0;15.0;3.05
0.86;0.68;0.81;81.0;36.0;9.0;14.0;10.0;2.6
0.88;0.68;0.88;76.0;37.0;6.0;11.0;12.0;2.02
0.48;0.45;0.36;33.0;27.0;22.0;8.0;11.0;1.09
0.32;0.41;1.01;45.0;39.0;27.0;2.0;11.0;1.4
0.22;0.29;0.31;16.0;32.0;40.0;4.0;8.0;0.87
0.45;0.5;0.82;44.0;49.0;18.0;5.0;9.0;2.08
0.72;0.67;1.71;76.0;54.0;13.0;3.0;11.0;4.71
1.39;0.88;2.69;133.0;53.0;8.0;6.0;18.0;6.41
0.32;0.3;0.41;27.0;24.0;38.0;3.0;7.0;1.3
0.29;0.25;0.46;15.0;28.0;41.0;6.0;6.0;1.01
0.25;0.23;0.32;12.0;24.0;45.0;3.0;8.0;0.71
0.26;0.17;0.26;13.0;22.0;39.0;3.0;6.0;0.5
0.54;0.41;0.63;45.0;46.0;21.0;3.0;14.0;2.58
0.29;0.2;0.28;13.0;33.0;48.0;3.0;6.0;0.55
0.33;0.25;0.26;10.0;29.0;41.0;3.0;9.0;0.51
0.41;0.32;0.39;15.0;35.0;36.0;4.0;6.0;0.91
0.72;0.52;0.67;66.0;54.0;7.0;5.0;14.0;1.95
0.64;0.4;0.61;63.0;52.0;12.0;4.0;11.0;1.98
0.72;0.41;0.79;77.0;53.0;19.0;4.0;7.0;2.6
0.4;0.3;0.3;14.0;36.0;29.0;6.0;13.0;0.75
0.99;0.56;9.52;89.0;57.0;3.0;8.0;8.0;3.43
1.0;0.58;2.61;62.0;59.0;3.0;6.0;4.0;2.97
0.61;0.39;0.98;21.0;46.0;6.0;7.0;4.0;1.38
0.6;0.45;0.61;42.0;48.0;9.0;7.0;6.0;1.71
0.4;0.21;0.4;16.0;35.0;19.0;4.0;5.0;0.83
0.5;0.27;0.66;28.0;46.0;22.0;6.0;7.0;1.24
0.78;0.43;11.57;85.0;59.0;10.0;13.0;17.0;2.4
